Label,Model,Star Score,Duration seconds,MAE,RMSE,R2
SiteEnergyUse(kBtu),LinearRegression,False,0.103474,5982031.361235077,19637923.379926786,0.2616226237415104
SiteEnergyUse(kBtu),ElasticNet,False,38.181584,5982031.361235077,19637923.379926786,0.2616226237415104
SiteEnergyUse(kBtu),RandomForestRegressor,False,73.264914,4842676.969396385,12258848.102507189,0.7122690453399761
SiteEnergyUse(kBtu),GradientBoostingRegressor,False,25.022925,5141425.033919165,12877464.885453597,0.6824968724306346
SiteEnergyUse(kBtu),SVR,False,16.673055,7292859.073262295,23619779.296290703,-0.0681664412028182
SiteEnergyUse(kBtu),LinearRegression,True,0.083451,6071250.375469659,19523012.71274767,0.2702385241395604
SiteEnergyUse(kBtu),ElasticNet,True,37.453665,6071250.375469659,19523012.71274767,0.2702385241395604
SiteEnergyUse(kBtu),RandomForestRegressor,True,72.145311,4335767.673246897,10708650.042065462,0.7804382360522447
SiteEnergyUse(kBtu),GradientBoostingRegressor,True,26.866892,4322228.855401362,12339950.499136172,0.7084492961810418
SiteEnergyUse(kBtu),SVR,True,271.376086,7292848.823197638,23619775.653548997,-0.0681661117286009
TotalGHGEmissions,LinearRegression,False,0.054179,208.74190528914988,736.6962017824463,-0.081191902151777
TotalGHGEmissions,ElasticNet,False,28.843673,208.74190528914988,736.6962017824463,-0.081191902151777
TotalGHGEmissions,RandomForestRegressor,False,73.826601,136.07446472491907,350.3733490730839,0.7554385212958306
TotalGHGEmissions,GradientBoostingRegressor,False,27.362268,210.6795685001837,684.2419310157103,0.0672928798879952
TotalGHGEmissions,SVR,False,240.940511,201.36456198591912,710.0405624940005,-0.0043665528756879
TotalGHGEmissions,LinearRegression,True,0.084359,221.130620577594,735.6666786625823,-0.0781721111498632
TotalGHGEmissions,ElasticNet,True,21.113446,221.130620577594,735.6666786625823,-0.0781721111498632
TotalGHGEmissions,RandomForestRegressor,True,73.226682,129.30097572815532,365.1022388545925,0.7344447358101469
TotalGHGEmissions,GradientBoostingRegressor,True,28.009369,169.88171885322154,544.5754343271253,0.4091979197365378
TotalGHGEmissions,SVR,True,355.115324,201.3428836695769,710.0368786010189,-0.004356131022368
