Label,Model,Star Score,Duration seconds,MAE,RMSE,R2
SiteEnergyUse(kBtu),LinearRegression,True,0.083451,6071250.375469659,19523012.71274767,0.2702385241395604
SiteEnergyUse(kBtu),ElasticNet,True,37.453665,6071250.375469659,19523012.71274767,0.2702385241395604
SiteEnergyUse(kBtu),RandomForestRegressor,True,72.145311,4335767.673246897,10708650.042065462,0.7804382360522447
SiteEnergyUse(kBtu),GradientBoostingRegressor,True,26.866892,4322228.855401362,12339950.499136172,0.7084492961810418
SiteEnergyUse(kBtu),SVR,True,271.376086,7292848.823197638,23619775.653548993,-0.06816611172860099
